home_team_goal,away_team_goal,away_team_api_id,home_team_api_id,home_team,season,date
4,0,8462,8455,Chelsea,2008/2009,2008-08-17 00:00:00
0,3,8455,8667,Hull City,2008/2009,2008-10-29 00:00:00
5,0,8472,8455,Chelsea,2008/2009,2008-11-01 00:00:00
0,2,8455,8655,Blackburn Rovers,2008/2009,2008-11-09 00:00:00
0,3,8455,8659,West Bromwich Albion,2008/2009,2008-11-15 00:00:00
0,0,10261,8455,Chelsea,2008/2009,2008-11-22 00:00:00
1,2,9825,8455,Chelsea,2008/2009,2008-11-30 00:00:00
0,2,8455,8559,Bolton Wanderers,2008/2009,2008-12-06 00:00:00
1,1,8654,8455,Chelsea,2008/2009,2008-12-14 00:00:00
0,0,8455,8668,Everton,2008/2009,2008-12-22 00:00:00
2,0,8659,8455,Chelsea,2008/2009,2008-12-26 00:00:00
0,1,8455,8528,Wigan Athletic,2008/2009,2008-08-24 00:00:00
2,2,8455,9879,Fulham,2008/2009,2008-12-28 00:00:00
3,0,8455,10260,Manchester United,2008/2009,2009-01-11 00:00:00
2,1,10194,8455,Chelsea,2008/2009,2009-01-17 00:00:00
2,0,8549,8455,Chelsea,2008/2009,2009-01-28 00:00:00
2,0,8455,8650,Liverpool,2008/2009,2009-02-01 00:00:00
0,0,8667,8455,Chelsea,2008/2009,2009-02-07 00:00:00
0,1,8455,10252,Aston Villa,2008/2009,2009-02-21 00:00:00
2,1,8528,8455,Chelsea,2008/2009,2009-02-28 00:00:00
0,1,8455,8462,Portsmouth,2008/2009,2009-03-03 00:00:00
1,0,8456,8455,Chelsea,2008/2009,2009-03-15 00:00:00
1,1,8586,8455,Chelsea,2008/2009,2008-08-31 00:00:00
1,0,8455,8586,Tottenham Hotspur,2008/2009,2009-03-21 00:00:00
0,2,8455,10261,Newcastle United,2008/2009,2009-04-04 00:00:00
4,3,8559,8455,Chelsea,2008/2009,2009-04-11 00:00:00
0,0,8668,8455,Chelsea,2008/2009,2009-04-22 00:00:00
0,1,8455,8654,West Ham United,2008/2009,2009-04-25 00:00:00
3,1,9879,8455,Chelsea,2008/2009,2009-05-02 00:00:00
1,4,8455,9825,Arsenal,2008/2009,2009-05-10 00:00:00
2,0,8655,8455,Chelsea,2008/2009,2009-05-17 00:00:00
2,3,8455,8472,Sunderland,2008/2009,2009-05-24 00:00:00
1,3,8455,8456,Manchester City,2008/2009,2008-09-13 00:00:00
1,1,10260,8455,Chelsea,2008/2009,2008-09-21 00:00:00
0,2,8455,10194,Stoke City,2008/2009,2008-09-27 00:00:00
2,0,10252,8455,Chelsea,2008/2009,2008-10-05 00:00:00
0,5,8455,8549,Middlesbrough,2008/2009,2008-10-18 00:00:00
0,1,8650,8455,Chelsea,2008/2009,2008-10-26 00:00:00
2,1,8667,8455,Chelsea,2009/2010,2009-08-15 00:00:00
5,0,8655,8455,Chelsea,2009/2010,2009-10-24 00:00:00
0,4,8455,8559,Bolton Wanderers,2009/2010,2009-10-31 00:00:00
1,0,10260,8455,Chelsea,2009/2010,2009-11-08 00:00:00
4,0,8602,8455,Chelsea,2009/2010,2009-11-21 00:00:00
0,3,8455,9825,Arsenal,2009/2010,2009-11-29 00:00:00
2,1,8455,8456,Manchester City,2009/2010,2009-12-05 00:00:00
3,3,8668,8455,Chelsea,2009/2010,2009-12-12 00:00:00
2,1,8462,8455,Chelsea,2009/2010,2009-12-16 00:00:00
1,1,8455,8654,West Ham United,2009/2010,2009-12-20 00:00:00
0,0,8455,8658,Birmingham City,2009/2010,2009-12-26 00:00:00
1,3,8455,8472,Sunderland,2009/2010,2009-08-18 00:00:00
2,1,9879,8455,Chelsea,2009/2010,2009-12-28 00:00:00
1,1,8455,8667,Hull City,2009/2010,2010-02-02 00:00:00
7,2,8472,8455,Chelsea,2009/2010,2010-01-16 00:00:00
3,0,8658,8455,Chelsea,2009/2010,2010-01-27 00:00:00
1,2,8455,8191,Burnley,2009/2010,2010-01-30 00:00:00
2,0,9825,8455,Chelsea,2009/2010,2010-02-07 00:00:00
2,1,8455,8668,Everton,2009/2010,2010-02-10 00:00:00
0,2,8455,8602,Wolverhampton Wanderers,2009/2010,2010-02-20 00:00:00
2,4,8456,8455,Chelsea,2009/2010,2010-02-27 00:00:00
0,5,8455,8462,Portsmouth,2009/2010,2010-03-24 00:00:00
0,2,8455,9879,Fulham,2009/2010,2009-08-23 00:00:00
4,1,8654,8455,Chelsea,2009/2010,2010-03-13 00:00:00
1,1,8455,8655,Blackburn Rovers,2009/2010,2010-03-21 00:00:00
7,1,10252,8455,Chelsea,2009/2010,2010-03-27 00:00:00
1,2,8455,10260,Manchester United,2009/2010,2010-04-03 00:00:00
1,0,8559,8455,Chelsea,2009/2010,2010-04-13 00:00:00
2,1,8455,8586,Tottenham Hotspur,2009/2010,2010-04-17 00:00:00
7,0,10194,8455,Chelsea,2009/2010,2010-04-25 00:00:00
0,2,8455,8650,Liverpool,2009/2010,2010-05-02 00:00:00
8,0,8528,8455,Chelsea,2009/2010,2010-05-09 00:00:00
3,0,8191,8455,Chelsea,2009/2010,2009-08-29 00:00:00
1,2,8455,10194,Stoke City,2009/2010,2009-09-12 00:00:00
3,0,8586,8455,Chelsea,2009/2010,2009-09-20 00:00:00
3,1,8455,8528,Wigan Athletic,2009/2010,2009-09-26 00:00:00
2,0,8650,8455,Chelsea,2009/2010,2009-10-04 00:00:00
2,1,8455,10252,Aston Villa,2009/2010,2009-10-17 00:00:00
6,0,8659,8455,Chelsea,2010/2011,2010-08-14 00:00:00
1,2,8455,8655,Blackburn Rovers,2010/2011,2010-10-30 00:00:00
2,0,8455,8650,Liverpool,2010/2011,2010-11-07 00:00:00
1,0,9879,8455,Chelsea,2010/2011,2010-11-10 00:00:00
0,3,8472,8455,Chelsea,2010/2011,2010-11-14 00:00:00
1,0,8455,8658,Birmingham City,2010/2011,2010-11-20 00:00:00
1,1,8455,10261,Newcastle United,2010/2011,2010-11-28 00:00:00
1,1,8668,8455,Chelsea,2010/2011,2010-12-04 00:00:00
1,1,8455,8586,Tottenham Hotspur,2010/2011,2010-12-12 00:00:00
2,1,10260,8455,Chelsea,2010/2011,2011-03-01 00:00:00
3,1,8455,9825,Arsenal,2010/2011,2010-12-27 00:00:00
0,6,8455,8528,Wigan Athletic,2010/2011,2010-08-21 00:00:00
1,0,8559,8455,Chelsea,2010/2011,2010-12-29 00:00:00
3,3,10252,8455,Chelsea,2010/2011,2011-01-02 00:00:00
1,0,8455,8602,Wolverhampton Wanderers,2010/2011,2011-01-05 00:00:00
2,0,8655,8455,Chelsea,2010/2011,2011-01-15 00:00:00
0,4,8455,8559,Bolton Wanderers,2010/2011,2011-01-24 00:00:00
2,4,8455,8472,Sunderland,2010/2011,2011-02-01 00:00:00
0,1,8650,8455,Chelsea,2010/2011,2011-02-06 00:00:00
0,0,8455,9879,Fulham,2010/2011,2011-02-14 00:00:00
3,1,8658,8455,Chelsea,2010/2011,2011-04-20 00:00:00
1,3,8455,8483,Blackpool,2010/2011,2011-03-07 00:00:00
2,0,10194,8455,Chelsea,2010/2011,2010-08-28 00:00:00
2,0,8456,8455,Chelsea,2010/2011,2011-03-20 00:00:00
1,1,8455,10194,Stoke City,2010/2011,2011-04-02 00:00:00
1,0,8528,8455,Chelsea,2010/2011,2011-04-09 00:00:00
1,3,8455,8659,West Bromwich Albion,2010/2011,2011-04-16 00:00:00
3,0,8654,8455,Chelsea,2010/2011,2011-04-23 00:00:00
2,1,8586,8455,Chelsea,2010/2011,2011-04-30 00:00:00
2,1,8455,10260,Manchester United,2010/2011,2011-05-08 00:00:00
2,2,10261,8455,Chelsea,2010/2011,2011-05-15 00:00:00
1,0,8455,8668,Everton,2010/2011,2011-05-22 00:00:00
1,3,8455,8654,West Ham United,2010/2011,2010-09-11 00:00:00
4,0,8483,8455,Chelsea,2010/2011,2010-09-19 00:00:00
1,0,8455,8456,Manchester City,2010/2011,2010-09-25 00:00:00
2,0,9825,8455,Chelsea,2010/2011,2010-10-03 00:00:00
0,0,8455,10252,Aston Villa,2010/2011,2010-10-16 00:00:00
2,0,8602,8455,Chelsea,2010/2011,2010-10-23 00:00:00
0,0,8455,10194,Stoke City,2011/2012,2011-08-14 00:00:00
3,5,9825,8455,Chelsea,2011/2012,2011-10-29 00:00:00
0,1,8455,8655,Blackburn Rovers,2011/2012,2011-11-05 00:00:00
1,2,8650,8455,Chelsea,2011/2012,2011-11-20 00:00:00
3,0,8602,8455,Chelsea,2011/2012,2011-11-26 00:00:00
0,3,8455,10261,Newcastle United,2011/2012,2011-12-03 00:00:00
2,1,8456,8455,Chelsea,2011/2012,2011-12-12 00:00:00
1,1,8455,8528,Wigan Athletic,2011/2012,2011-12-17 00:00:00
1,1,8455,8586,Tottenham Hotspur,2011/2012,2011-12-22 00:00:00
1,1,9879,8455,Chelsea,2011/2012,2011-12-26 00:00:00
1,3,10252,8455,Chelsea,2011/2012,2011-12-31 00:00:00
2,1,8659,8455,Chelsea,2011/2012,2011-08-20 00:00:00
1,2,8455,8602,Wolverhampton Wanderers,2011/2012,2012-01-02 00:00:00
1,0,8472,8455,Chelsea,2011/2012,2012-01-14 00:00:00
0,0,8455,9850,Norwich City,2011/2012,2012-01-21 00:00:00
1,1,8455,10003,Swansea City,2011/2012,2012-01-31 00:00:00
3,3,10260,8455,Chelsea,2011/2012,2012-02-05 00:00:00
2,0,8455,8668,Everton,2011/2012,2012-02-11 00:00:00
3,0,8559,8455,Chelsea,2011/2012,2012-02-25 00:00:00
1,0,8455,8659,West Bromwich Albion,2011/2012,2012-03-03 00:00:00
1,0,10194,8455,Chelsea,2011/2012,2012-03-10 00:00:00
2,1,8455,8456,Manchester City,2011/2012,2012-03-21 00:00:00
3,1,9850,8455,Chelsea,2011/2012,2011-08-27 00:00:00
0,0,8586,8455,Chelsea,2011/2012,2012-03-24 00:00:00
2,4,8455,10252,Aston Villa,2011/2012,2012-03-31 00:00:00
2,1,8528,8455,Chelsea,2011/2012,2012-04-07 00:00:00
1,1,8455,9879,Fulham,2011/2012,2012-04-09 00:00:00
0,2,10261,8455,Chelsea,2011/2012,2012-05-02 00:00:00
0,0,8455,9825,Arsenal,2011/2012,2012-04-21 00:00:00
6,1,10172,8455,Chelsea,2011/2012,2012-04-29 00:00:00
4,1,8455,8650,Liverpool,2011/2012,2012-05-08 00:00:00
2,1,8655,8455,Chelsea,2011/2012,2012-05-13 00:00:00
1,2,8455,8472,Sunderland,2011/2012,2011-09-10 00:00:00
3,1,8455,10260,Manchester United,2011/2012,2011-09-18 00:00:00
4,1,10003,8455,Chelsea,2011/2012,2011-09-24 00:00:00
1,5,8455,8559,Bolton Wanderers,2011/2012,2011-10-02 00:00:00
3,1,8668,8455,Chelsea,2011/2012,2011-10-15 00:00:00
1,0,8455,10172,Queens Park Rangers,2011/2012,2011-10-23 00:00:00
0,2,8455,8528,Wigan Athletic,2012/2013,2012-08-19 00:00:00
1,1,8455,10003,Swansea City,2012/2013,2012-11-03 00:00:00
1,1,8650,8455,Chelsea,2012/2013,2012-11-11 00:00:00
2,1,8455,8659,West Bromwich Albion,2012/2013,2012-11-17 00:00:00
0,0,8456,8455,Chelsea,2012/2013,2012-11-25 00:00:00
0,0,9879,8455,Chelsea,2012/2013,2012-11-28 00:00:00
3,1,8455,8654,West Ham United,2012/2013,2012-12-01 00:00:00
1,3,8455,8472,Sunderland,2012/2013,2012-12-08 00:00:00
2,2,8466,8455,Chelsea,2012/2013,2013-01-16 00:00:00
8,0,10252,8455,Chelsea,2012/2013,2012-12-23 00:00:00
0,1,8455,9850,Norwich City,2012/2013,2012-12-26 00:00:00
2,0,10261,8455,Chelsea,2012/2013,2012-08-25 00:00:00
1,2,8455,8668,Everton,2012/2013,2012-12-30 00:00:00
0,1,10172,8455,Chelsea,2012/2013,2013-01-02 00:00:00
0,4,8455,10194,Stoke City,2012/2013,2013-01-12 00:00:00
2,1,9825,8455,Chelsea,2012/2013,2013-01-20 00:00:00
2,2,8455,9798,Reading,2012/2013,2013-01-30 00:00:00
3,2,8455,10261,Newcastle United,2012/2013,2013-02-02 00:00:00
4,1,8528,8455,Chelsea,2012/2013,2013-02-09 00:00:00
2,0,8455,8456,Manchester City,2012/2013,2013-02-24 00:00:00
1,0,8659,8455,Chelsea,2012/2013,2013-03-02 00:00:00
0,3,8455,9879,Fulham,2012/2013,2013-04-17 00:00:00
4,2,9798,8455,Chelsea,2012/2013,2012-08-22 00:00:00
2,0,8654,8455,Chelsea,2012/2013,2013-03-17 00:00:00
2,1,8455,8466,Southampton,2012/2013,2013-03-30 00:00:00
2,1,8472,8455,Chelsea,2012/2013,2013-04-07 00:00:00
2,2,8586,8455,Chelsea,2012/2013,2013-05-08 00:00:00
2,2,8455,8650,Liverpool,2012/2013,2013-04-21 00:00:00
2,0,10003,8455,Chelsea,2012/2013,2013-04-28 00:00:00
0,1,8455,10260,Manchester United,2012/2013,2013-05-05 00:00:00
1,2,8455,10252,Aston Villa,2012/2013,2013-05-11 00:00:00
2,1,8668,8455,Chelsea,2012/2013,2013-05-19 00:00:00
0,0,8455,10172,Queens Park Rangers,2012/2013,2012-09-15 00:00:00
1,0,10194,8455,Chelsea,2012/2013,2012-09-22 00:00:00
1,2,8455,9825,Arsenal,2012/2013,2012-09-29 00:00:00
4,1,9850,8455,Chelsea,2012/2013,2012-10-06 00:00:00
2,4,8455,8586,Tottenham Hotspur,2012/2013,2012-10-20 00:00:00
2,3,10260,8455,Chelsea,2012/2013,2012-10-28 00:00:00
2,0,8667,8455,Chelsea,2013/2014,2013-08-18 00:00:00
2,0,8455,10261,Newcastle United,2013/2014,2013-11-02 00:00:00
2,2,8659,8455,Chelsea,2013/2014,2013-11-09 00:00:00
0,3,8455,8654,West Ham United,2013/2014,2013-11-23 00:00:00
3,1,8466,8455,Chelsea,2013/2014,2013-12-01 00:00:00
3,4,8455,8472,Sunderland,2013/2014,2013-12-04 00:00:00
3,2,8455,10194,Stoke City,2013/2014,2013-12-07 00:00:00
2,1,9826,8455,Chelsea,2013/2014,2013-12-14 00:00:00
0,0,8455,9825,Arsenal,2013/2014,2013-12-23 00:00:00
1,0,10003,8455,Chelsea,2013/2014,2013-12-26 00:00:00
2,1,8650,8455,Chelsea,2013/2014,2013-12-29 00:00:00
0,0,8455,10260,Manchester United,2013/2014,2013-08-26 00:00:00
0,3,8455,8466,Southampton,2013/2014,2014-01-01 00:00:00
0,2,8455,8667,Hull City,2013/2014,2014-01-11 00:00:00
3,1,10260,8455,Chelsea,2013/2014,2014-01-19 00:00:00
0,0,8654,8455,Chelsea,2013/2014,2014-01-29 00:00:00
0,1,8455,8456,Manchester City,2013/2014,2014-02-03 00:00:00
3,0,10261,8455,Chelsea,2013/2014,2014-02-08 00:00:00
1,1,8455,8659,West Bromwich Albion,2013/2014,2014-02-11 00:00:00
1,0,8668,8455,Chelsea,2013/2014,2014-02-22 00:00:00
1,3,8455,9879,Fulham,2013/2014,2014-03-01 00:00:00
4,0,8586,8455,Chelsea,2013/2014,2014-03-08 00:00:00
2,1,10252,8455,Chelsea,2013/2014,2013-08-21 00:00:00
1,0,8455,10252,Aston Villa,2013/2014,2014-03-15 00:00:00
6,0,9825,8455,Chelsea,2013/2014,2014-03-22 00:00:00
1,0,8455,9826,Crystal Palace,2013/2014,2014-03-29 00:00:00
3,0,10194,8455,Chelsea,2013/2014,2014-04-05 00:00:00
0,1,8455,10003,Swansea City,2013/2014,2014-04-13 00:00:00
1,2,8472,8455,Chelsea,2013/2014,2014-04-19 00:00:00
0,2,8455,8650,Liverpool,2013/2014,2014-04-27 00:00:00
0,0,9850,8455,Chelsea,2013/2014,2014-05-04 00:00:00
1,2,8455,8344,Cardiff City,2013/2014,2014-05-11 00:00:00
1,0,8455,8668,Everton,2013/2014,2013-09-14 00:00:00
2,0,9879,8455,Chelsea,2013/2014,2013-09-21 00:00:00
1,1,8455,8586,Tottenham Hotspur,2013/2014,2013-09-28 00:00:00
1,3,8455,9850,Norwich City,2013/2014,2013-10-06 00:00:00
4,1,8344,8455,Chelsea,2013/2014,2013-10-19 00:00:00
2,1,8456,8455,Chelsea,2013/2014,2013-10-27 00:00:00
1,3,8455,8191,Burnley,2014/2015,2014-08-18 00:00:00
2,1,10172,8455,Chelsea,2014/2015,2014-11-01 00:00:00
1,2,8455,8650,Liverpool,2014/2015,2014-11-08 00:00:00
2,0,8659,8455,Chelsea,2014/2015,2014-11-22 00:00:00
0,0,8455,8472,Sunderland,2014/2015,2014-11-29 00:00:00
3,0,8586,8455,Chelsea,2014/2015,2014-12-03 00:00:00
2,1,8455,10261,Newcastle United,2014/2015,2014-12-06 00:00:00
2,0,8667,8455,Chelsea,2014/2015,2014-12-13 00:00:00
0,2,8455,10194,Stoke City,2014/2015,2014-12-22 00:00:00
2,0,8654,8455,Chelsea,2014/2015,2014-12-26 00:00:00
1,1,8455,8466,Southampton,2014/2015,2014-12-28 00:00:00
2,0,8197,8455,Chelsea,2014/2015,2014-08-23 00:00:00
5,3,8455,8586,Tottenham Hotspur,2014/2015,2015-01-01 00:00:00
2,0,10261,8455,Chelsea,2014/2015,2015-01-10 00:00:00
0,5,8455,10003,Swansea City,2014/2015,2015-01-17 00:00:00
1,1,8456,8455,Chelsea,2014/2015,2015-01-31 00:00:00
1,2,8455,10252,Aston Villa,2014/2015,2015-02-07 00:00:00
1,0,8668,8455,Chelsea,2014/2015,2015-02-11 00:00:00
1,1,8191,8455,Chelsea,2014/2015,2015-02-21 00:00:00
