home_team_goal,away_team_goal,away_team_api_id,home_team_api_id,home_team,season,date
1,1,10261,10260,Manchester United,2008/2009,2008-08-17 00:00:00
2,0,8654,10260,Manchester United,2008/2009,2008-10-29 00:00:00
4,3,8667,10260,Manchester United,2008/2009,2008-11-01 00:00:00
2,1,10260,9825,Arsenal,2008/2009,2008-11-08 00:00:00
5,0,10194,10260,Manchester United,2008/2009,2008-11-15 00:00:00
0,0,10260,10252,Aston Villa,2008/2009,2008-11-22 00:00:00
0,1,10260,8456,Manchester City,2008/2009,2008-11-30 00:00:00
1,0,8472,10260,Manchester United,2008/2009,2008-12-06 00:00:00
0,0,10260,8586,Tottenham Hotspur,2008/2009,2008-12-13 00:00:00
1,0,8528,10260,Manchester United,2008/2009,2009-01-14 00:00:00
0,1,10260,10194,Stoke City,2008/2009,2008-12-26 00:00:00
0,1,10260,8462,Portsmouth,2008/2009,2008-08-25 00:00:00
1,0,8549,10260,Manchester United,2008/2009,2008-12-29 00:00:00
3,0,8455,10260,Manchester United,2008/2009,2009-01-11 00:00:00
0,1,10260,8559,Bolton Wanderers,2008/2009,2009-01-17 00:00:00
0,5,10260,8659,West Bromwich Albion,2008/2009,2009-01-27 00:00:00
1,0,8668,10260,Manchester United,2008/2009,2009-01-31 00:00:00
0,1,10260,8654,West Ham United,2008/2009,2009-02-08 00:00:00
2,1,8655,10260,Manchester United,2008/2009,2009-02-21 00:00:00
2,0,8462,10260,Manchester United,2008/2009,2009-04-22 00:00:00
1,2,10260,10261,Newcastle United,2008/2009,2009-03-04 00:00:00
1,4,8650,10260,Manchester United,2008/2009,2009-03-14 00:00:00
3,0,9879,10260,Manchester United,2008/2009,2009-02-18 00:00:00
2,0,10260,9879,Fulham,2008/2009,2009-03-21 00:00:00
3,2,10252,10260,Manchester United,2008/2009,2009-04-05 00:00:00
1,2,10260,8472,Sunderland,2008/2009,2009-04-11 00:00:00
1,2,10260,8528,Wigan Athletic,2008/2009,2009-05-13 00:00:00
5,2,8586,10260,Manchester United,2008/2009,2009-04-25 00:00:00
0,2,10260,8549,Middlesbrough,2008/2009,2009-05-02 00:00:00
2,0,8456,10260,Manchester United,2008/2009,2009-05-10 00:00:00
0,0,9825,10260,Manchester United,2008/2009,2009-05-16 00:00:00
0,1,10260,8667,Hull City,2008/2009,2009-05-24 00:00:00
2,1,10260,8650,Liverpool,2008/2009,2008-09-13 00:00:00
1,1,10260,8455,Chelsea,2008/2009,2008-09-21 00:00:00
2,0,8559,10260,Manchester United,2008/2009,2008-09-27 00:00:00
0,2,10260,8655,Blackburn Rovers,2008/2009,2008-10-04 00:00:00
4,0,8659,10260,Manchester United,2008/2009,2008-10-18 00:00:00
1,1,10260,8668,Everton,2008/2009,2008-10-25 00:00:00
1,0,8658,10260,Manchester United,2009/2010,2009-08-16 00:00:00
2,0,10260,8650,Liverpool,2009/2010,2009-10-25 00:00:00
2,0,8655,10260,Manchester United,2009/2010,2009-10-31 00:00:00
1,0,10260,8455,Chelsea,2009/2010,2009-11-08 00:00:00
3,0,8668,10260,Manchester United,2009/2010,2009-11-21 00:00:00
1,4,10260,8462,Portsmouth,2009/2010,2009-11-28 00:00:00
0,4,10260,8654,West Ham United,2009/2010,2009-12-05 00:00:00
0,1,10252,10260,Manchester United,2009/2010,2009-12-12 00:00:00
3,0,8602,10260,Manchester United,2009/2010,2009-12-15 00:00:00
3,0,10260,9879,Fulham,2009/2010,2009-12-19 00:00:00
1,3,10260,8667,Hull City,2009/2010,2009-12-27 00:00:00
1,0,10260,8191,Burnley,2009/2010,2009-08-19 00:00:00
5,0,8528,10260,Manchester United,2009/2010,2009-12-30 00:00:00
1,1,10260,8658,Birmingham City,2009/2010,2010-01-09 00:00:00
3,0,8191,10260,Manchester United,2009/2010,2010-01-16 00:00:00
4,0,8667,10260,Manchester United,2009/2010,2010-01-23 00:00:00
1,3,10260,9825,Arsenal,2009/2010,2010-01-31 00:00:00
5,0,8462,10260,Manchester United,2009/2010,2010-02-06 00:00:00
1,1,10260,10252,Aston Villa,2009/2010,2010-02-10 00:00:00
3,1,10260,8668,Everton,2009/2010,2010-02-20 00:00:00
3,0,8654,10260,Manchester United,2009/2010,2010-02-23 00:00:00
0,1,10260,8602,Wolverhampton Wanderers,2009/2010,2010-03-06 00:00:00
0,5,10260,8528,Wigan Athletic,2009/2010,2009-08-22 00:00:00
3,0,9879,10260,Manchester United,2009/2010,2010-03-14 00:00:00
2,1,8650,10260,Manchester United,2009/2010,2010-03-21 00:00:00
0,4,10260,8559,Bolton Wanderers,2009/2010,2010-03-27 00:00:00
1,2,8455,10260,Manchester United,2009/2010,2010-04-03 00:00:00
0,0,10260,8655,Blackburn Rovers,2009/2010,2010-04-11 00:00:00
0,1,10260,8456,Manchester City,2009/2010,2010-04-17 00:00:00
3,1,8586,10260,Manchester United,2009/2010,2010-04-24 00:00:00
0,1,10260,8472,Sunderland,2009/2010,2010-05-02 00:00:00
4,0,10194,10260,Manchester United,2009/2010,2010-05-09 00:00:00
2,1,9825,10260,Manchester United,2009/2010,2009-08-29 00:00:00
1,3,10260,8586,Tottenham Hotspur,2009/2010,2009-09-12 00:00:00
4,3,8456,10260,Manchester United,2009/2010,2009-09-20 00:00:00
0,2,10260,10194,Stoke City,2009/2010,2009-09-26 00:00:00
2,2,8472,10260,Manchester United,2009/2010,2009-10-03 00:00:00
2,1,8559,10260,Manchester United,2009/2010,2009-10-17 00:00:00
3,0,10261,10260,Manchester United,2010/2011,2010-08-16 00:00:00
2,0,8586,10260,Manchester United,2010/2011,2010-10-30 00:00:00
2,1,8602,10260,Manchester United,2010/2011,2010-11-06 00:00:00
0,0,10260,8456,Manchester City,2010/2011,2010-11-10 00:00:00
2,2,10260,10252,Aston Villa,2010/2011,2010-11-13 00:00:00
2,0,8528,10260,Manchester United,2010/2011,2010-11-20 00:00:00
7,1,8655,10260,Manchester United,2010/2011,2010-11-27 00:00:00
2,3,10260,8483,Blackpool,2010/2011,2011-01-25 00:00:00
1,0,9825,10260,Manchester United,2010/2011,2010-12-13 00:00:00
2,1,10260,8455,Chelsea,2010/2011,2011-03-01 00:00:00
2,0,8472,10260,Manchester United,2010/2011,2010-12-26 00:00:00
2,2,10260,9879,Fulham,2010/2011,2010-08-22 00:00:00
1,1,10260,8658,Birmingham City,2010/2011,2010-12-28 00:00:00
1,2,10260,8659,West Bromwich Albion,2010/2011,2011-01-01 00:00:00
2,1,10194,10260,Manchester United,2010/2011,2011-01-04 00:00:00
0,0,10260,8586,Tottenham Hotspur,2010/2011,2011-01-16 00:00:00
5,0,8658,10260,Manchester United,2010/2011,2011-01-22 00:00:00
3,1,10252,10260,Manchester United,2010/2011,2011-02-01 00:00:00
2,1,10260,8602,Wolverhampton Wanderers,2010/2011,2011-02-05 00:00:00
2,1,8456,10260,Manchester United,2010/2011,2011-02-12 00:00:00
0,4,10260,8528,Wigan Athletic,2010/2011,2011-02-26 00:00:00
3,1,10260,8650,Liverpool,2010/2011,2011-03-06 00:00:00
3,0,8654,10260,Manchester United,2010/2011,2010-08-28 00:00:00
1,0,8559,10260,Manchester United,2010/2011,2011-03-19 00:00:00
2,4,10260,8654,West Ham United,2010/2011,2011-04-02 00:00:00
2,0,9879,10260,Manchester United,2010/2011,2011-04-09 00:00:00
0,0,10260,10261,Newcastle United,2010/2011,2011-04-19 00:00:00
1,0,8668,10260,Manchester United,2010/2011,2011-04-23 00:00:00
1,0,10260,9825,Arsenal,2010/2011,2011-05-01 00:00:00
2,1,8455,10260,Manchester United,2010/2011,2011-05-08 00:00:00
1,1,10260,8655,Blackburn Rovers,2010/2011,2011-05-14 00:00:00
4,2,8483,10260,Manchester United,2010/2011,2011-05-22 00:00:00
3,3,10260,8668,Everton,2010/2011,2010-09-11 00:00:00
3,2,8650,10260,Manchester United,2010/2011,2010-09-19 00:00:00
2,2,10260,8559,Bolton Wanderers,2010/2011,2010-09-26 00:00:00
0,0,10260,8472,Sunderland,2010/2011,2010-10-02 00:00:00
2,2,8659,10260,Manchester United,2010/2011,2010-10-16 00:00:00
1,2,10260,10194,Stoke City,2010/2011,2010-10-24 00:00:00
1,2,10260,8659,West Bromwich Albion,2011/2012,2011-08-14 00:00:00
0,1,10260,8668,Everton,2011/2012,2011-10-29 00:00:00
1,0,8472,10260,Manchester United,2011/2012,2011-11-05 00:00:00
0,1,10260,10003,Swansea City,2011/2012,2011-11-19 00:00:00
1,1,10261,10260,Manchester United,2011/2012,2011-11-26 00:00:00
0,1,10260,10252,Aston Villa,2011/2012,2011-12-03 00:00:00
4,1,8602,10260,Manchester United,2011/2012,2011-12-10 00:00:00
0,2,10260,10172,Queens Park Rangers,2011/2012,2011-12-18 00:00:00
0,5,10260,9879,Fulham,2011/2012,2011-12-21 00:00:00
5,0,8528,10260,Manchester United,2011/2012,2011-12-26 00:00:00
2,3,8655,10260,Manchester United,2011/2012,2011-12-31 00:00:00
3,0,8586,10260,Manchester United,2011/2012,2011-08-22 00:00:00
3,0,10260,10261,Newcastle United,2011/2012,2012-01-04 00:00:00
3,0,8559,10260,Manchester United,2011/2012,2012-01-14 00:00:00
